Not Random;Base;LLM;SE;Random
10% missing;8,005309735;6,864206469;;9,192319694
10% missing;3,125;1,180694838;3,058813316;5,981001722
10% missing;0,791044776;1,165829552;0,811806119;0,64642597
10% missing;11,92542614;7,369952386;11,42071879;23,79621075
10% missing;13,59701493;2,165053187;18,63305037;32,26716824
10% missing;0,486095662;1,050436148;0,716611923;8,778436162
10% missing;2,786427146;1,617785929;1,999028601;3,880656493
10% missing;0,129916567;0,10822955;0,18761955;1,053357004
10% missing;5,162762022;5,832010937;5,826459551;5,19295645
10% missing;8,717931624;9,221975741;0,396706261;81,92283396
10% missing;9,409397062;11,11407174;5,630003018;49,71860017
10% missing;13,856;13,09198797;6,561569591;25,35621787
10% missing;4,773333333;8,329464292;12,19484303;22,41566818
10% missing;30,1230876;2,634580791;17,79407024;47,7184523
20% missing;7,037168142;6,619762062;;7,670909119
20% missing;4,03125;3,947683406;4,176466538;6,068434241
20% missing;1,348258706;1,513471438;1,188384193;1,339452623
20% missing;15,83735795;11,02259581;14,20006481;22,83344116
20% missing;20,31343284;4,784823857;22,26683584;33,67368185
20% missing;6,661846496;3,561348474;7,1856441;11,33582481
20% missing;2,696606786;1,53036074;1,944697806;3,351876685
20% missing;0,308700834;0,277622099;0,647244253;1,192386602
20% missing;5,889025894;6,41491047;6,128013367;5,889007131
20% missing;11,06340778;11,80972129;1,899878526;82,44009897
20% missing;27,6590116;27,73697342;19,56861391;62,28799322
20% missing;18,23885714;17,14899666;8,145943859;27,20395606
20% missing;10,58333333;10,08088318;17,84570132;23,54208158
20% missing;18,74329692;4,83742329;11,1300221;47,60721918
30% missing;6,086725664;5,924016858;;6,479503892
30% missing;4,46875;6,875825647;4,230002341;6,171296822
30% missing;1,18159204;1,517691089;1,078138601;1,339087167
30% missing;17,26420455;9,846021605;16,21055415;22,05239636
30% missing;24,6119403;8,117420448;27,12510739;34,78955743
30% missing;7,379310345;4,834509557;7,612441107;12,46120544
30% missing;2,820359281;1,717638205;2,169371427;3,071525353
30% missing;0,797377831;0,746237276;0,931744268;1,454490087
30% missing;5,377311961;5,617365691;5,142751539;5,3786424
30% missing;10,53741105;11,72525367;3,284486625;77,5833971
30% missing;24,68863102;24,74706868;21,52655583;64,15667828
30% missing;32,75085714;29,3777183;9,044012365;28,83680479
30% missing;17,31166667;15,0195697;22,67526388;26,17407192
30% missing;18,27081875;6,215210155;12,77366383;49,12231825
40% missing;5,454867257;5,385423064;;5,63676326
40% missing;5,4375;7,194050447;5,223993828;6,432510109
40% missing;1,574626866;2,071245165;1,518903537;1,51723236
40% missing;17,40056818;12,70942105;17,40478548;21,53984962
40% missing;29,05970149;11,32179144;29,9486193;36,95979663
40% missing;9,834260289;6,599364111;10,0884263;14,44020033
40% missing;2,728542914;1,780897829;2,164685186;2,879151439
40% missing;1,264600715;1,280333006;1,172117608;1,762605203
40% missing;4,828606658;4,999975205;4,717923837;4,835709292
40% missing;11,57717714;12,97322907;4,203690141;73,9848051
40% missing;41,06719143;34,72237974;23,89556887;68,84191479
40% missing;36,92342857;34,02467243;7,42336132;33,10106918
40% missing;21,10333333;18,36122947;25,82686517;28,8090148
40% missing;23,22656323;7,151897689;16,2306414;53,24538298
50% missing;4,861946903;4,778362924;;4,957370715
50% missing;5,875;7,845362388;6,103420141;7,050276856
50% missing;1,848258706;2,199278247;1,544277243;1,748702625
50% missing;17,94176136;14,89218958;18,06432276;21,33810208
50% missing;34,23880597;17,3863951;34,03648066;39,55810451
50% missing;14,5105673;10,1709226;14,92013281;17,67193253
50% missing;2,586826347;1,958676705;2,051242892;2,73095079
50% missing;1,907032181;1,601338757;1,642423971;2,328140275
50% missing;4,490752158;4,599085581;4,280670848;4,498455118
50% missing;13,30248982;14,32330301;6,255384794;77,29417155
50% missing;40,74389353;40,45791861;29,78348688;74,03395647
50% missing;41,07657143;38,40341447;15,45887552;37,69744026
50% missing;29,80333333;24,58184642;30,13247875;34,38631978
50% missing;26,72454626;10,86696364;17,92343967;60,06572724
