MNAR,LLM,SE,Random
1 Proxy,0.938121643,0.986890211,1.044709212
1 Proxy,1.156964391,0.854234166,0.926864844
1 Proxy,0.980759638,0.893794852,1.17265114
1 Proxy,0.630257028,1.097497964,0.997371738
1 Proxy,0.534910348,1.083242331,0.998967453
1 Proxy,0.567060779,0.722916069,1.103078566
1 Proxy,0.921356727,2.059273854,4.086800691
1 Proxy,1.087309585,1.039405664,1.000954956
1 Proxy,1.066638869,0.171301156,1.003288986
1 Proxy,0.961666075,0.70830331,2.251779353
1 Proxy,0.940245133,0.436317909,1.491538414
1 Proxy,0.912442987,1.678077986,2.397867043
1 Proxy,0.765492967,0.593767789,2.528040051
1 Proxy,1.147902258,1.176521465,1.459063327
1 Proxy,0.992315531,1.012313955,1.00261834
1 Proxy,1.065034314,1.0501415,0.996232051
2 Proxies,0.936523008,0.923682924,1.162272417
2 Proxies,0.498359913,0.976484133,1.119423331
2 Proxies,1.13263445,0.908673774,1.399900892
2 Proxies,0.235534526,1.096947534,1.731907221
2 Proxies,0.782279996,1.307437817,1.698223934
2 Proxies,0.565109512,0.572935768,1.160809321
2 Proxies,2.668821132,0.958146541,3.818631236
2 Proxies,1.099026003,1.04388147,1.193613599
2 Proxies,1.064851315,0.18544599,6.149074011
2 Proxies,0.395546148,0.675784342,1.579379996
2 Proxies,0.221324802,0.442150738,1.484114154
2 Proxies,0.822524634,2.127830028,2.13698771
2 Proxies,0.257233628,0.620611092,2.469592985
2 Proxies,1.226942476,1.248734621,1.41192234
2 Proxies,0.995894808,1.022898739,1.071279642
2 Proxies,1.157992843,1.046817822,1.136851124
3 Proxies,0.936112589,0.930522964,1.143797043
3 Proxies,,,
3 Proxies,1.142590297,0.905944718,1.396317564
3 Proxies,0.235083215,0.878910981,1.66368358
3 Proxies,0.981586961,0.573882691,1.737727126
3 Proxies,0.575064287,0.504055664,1.15566348
3 Proxies,2.270457441,1.032476493,4.709082923
3 Proxies,1.082544895,1.010112231,1.178613781
3 Proxies,1.391061403,0.176285927,6.047638409
3 Proxies,0.882204275,0.002318232,1.619296634
3 Proxies,0.221369232,0.388658593,1.511744597
3 Proxies,0.864475532,0.618627162,2.170945157
3 Proxies,0.253543957,0.613155368,2.267432815
3 Proxies,0.796426515,1.181270481,1.252258962
3 Proxies,0.977367782,0.994466686,1.072446988
3 Proxies,1.049034386,1.165097421,1.131828653
4 Proxies,0.944867335,0.945276922,1.148658341
4 Proxies,,,
4 Proxies,1.120140115,0.850371236,1.34564245
4 Proxies,,,
4 Proxies,0.865378893,0.565860581,1.888294446
4 Proxies,0.581775948,0.507110284,1.119596116
4 Proxies,2.260628183,0.916078305,4.697331896
4 Proxies,1.083236988,0.988224486,1.203117186
4 Proxies,1.306136299,0.177717714,6.306241587
4 Proxies,0.857972908,0.002348797,1.544704586
4 Proxies,0.18285387,0.37467466,1.437546597
4 Proxies,0.754085731,0.783300316,2.143016356
4 Proxies,0.255739915,0.566206142,2.368217319
4 Proxies,,,
4 Proxies,,,
4 Proxies,,,
5 Proxies,0.940048815,0.955559531,1.144450573
5 Proxies,,,
5 Proxies,1.147568373,0.900874561,1.336183277
5 Proxies,,,
5 Proxies,0.876703585,0.50282766,1.880349614
5 Proxies,0.599872499,0.497705274,1.122697738
5 Proxies,2.732829056,0.886976859,4.835486965
5 Proxies,1.083033525,1.012000977,1.184094233
5 Proxies,1.347033506,0.197299152,5.648326217
5 Proxies,0.416798807,0.002180275,2.258159038
5 Proxies,,,
5 Proxies,0.488721944,0.850297575,2.474414765
5 Proxies,0.254104633,0.577154112,2.351612815
5 Proxies,,,
5 Proxies,,,
5 Proxies,,,
