Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Neonatal mortality rate (deaths per 1000 live births);Age-standardized DALYs diabetes mellitus per 100000;Prevalence of obesity among adults (%);Total NCD Deaths (in thousands);Estimates of rates of homicides per 100 000 population;
Ecuador [Americas];2004;Female;105.0;null;;631.0;18;21556.44;3.89387;
Algeria [Africa];2004;Both sexes;74.0;null;;373.0;;102960.7;1.78947;
Vanuatu [Western Pacific];2004;Both sexes;80.0;null;;643.0;;992.5764;2.95018;
Netherlands [Europe];2004;Female;73.0;null;;188.0;18;63331.04;0.86295;
Malaysia [Western Pacific];2004;Male;163.0;null;;547.0;6;45428.57;4.62119;
Micronesia (Federated States of) [Western Pacific];2004;Male;73.0;null;;764.0;27;354.2908;5.97139;
Georgia [Europe];2004;Female;37.0;null;;240.0;19;27113.56;3.99676;
Cook Islands [Western Pacific];2004;Female;123.0;null;;554.0;52;;;
China [Western Pacific];2004;Both sexes;314.0;null;;232.0;;7737657.0;1.73163;
Chad [Africa];2004;Female;108.0;null;38.28785;679.0;4;12887.26;4.69959;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;179.0;null;;449.0;;38016.27;7.04721;
France [Europe];2004;Female;116.0;null;;182.0;19;217807.0;0.9082;
Andorra [Europe];2004;Both sexes;113.0;null;;238.0;;;;
Brunei Darussalam [Western Pacific];2004;Male;143.0;null;;685.0;7;557.5899;1.14392;
Sierra Leone [Africa];2004;Both sexes;218.0;null;;720.0;;17240.16;9.16866;
Belgium [Europe];2004;Both sexes;148.0;null;;182.0;;89357.16;2.0454;
Bahamas [Americas];2004;Male;152.0;null;;602.0;18;694.8643;29.13855;
Ecuador [Americas];2004;Male;280.0;null;;525.0;9;23851.34;39.60355;
Uruguay [Americas];2004;Male;124.0;null;;369.0;19;14181.54;9.53081;
Uganda [Africa];2004;Female;88.0;null;;478.0;4;31956.31;3.06275;
Turkey [Europe];2004;Female;142.0;null;;417.0;30;110937.8;1.531;
Nauru [Western Pacific];2004;Female;230.0;null;;1957.0;59;;;
Samoa [Western Pacific];2004;Male;86.0;null;;640.0;29;453.3357;8.16561;
Papua New Guinea [Western Pacific];2004;Female;247.0;null;;493.0;17;10743.16;4.54567;
Indonesia [South-East Asia];2004;Both sexes;455.0;null;;592.0;;943937.9;5.67655;
Micronesia (Federated States of) [Western Pacific];2004;Both sexes;70.0;null;;721.0;;653.0622;4.61902;
Honduras [Americas];2004;Female;80.0;null;;689.0;17;12512.83;33.41389;
Uzbekistan [Europe];2004;Male;280.0;null;;350.0;8;67825.22;5.82756;
Andorra [Europe];2004;Female;73.0;null;;222.0;26;;;
Saint Lucia [Americas];2004;Male;113.0;null;;801.0;7;485.4507;38.52118;
Indonesia [South-East Asia];2004;Male;360.0;null;;533.0;2;468250.7;8.17269;
Botswana [Africa];2004;Male;128.0;null;;345.0;4;4361.551;32.89143;
Central African Republic [Africa];2004;Female;91.0;null;;576.0;6;8877.382;9.12221;
Kazakhstan [Europe];2004;Both sexes;299.0;null;;200.0;;130671.8;15.50454;
Pakistan [Eastern Mediterranean];2004;Male;277.0;null;;398.0;3;404617.0;10.13855;
Belgium [Europe];2004;Female;99.0;null;;194.0;21;45062.03;1.67376;
Qatar [Eastern Mediterranean];2004;Both sexes;104.0;null;;759.0;;1494.224;0.91389;
Republic of Korea [Western Pacific];2004;Male;128.0;null;;533.0;3;107141.6;2.39041;
Burundi [Africa];2004;Both sexes;148.0;null;;541.0;;22181.47;5.4143;
Democratic Republic of the Congo [Africa];2004;Female;152.0;null;;607.0;5;80074.02;6.09469;
Viet Nam [Western Pacific];2004;Male;211.0;null;;237.0;1;211882.9;3.02101;
Malta [Europe];2004;Male;182.0;null;;354.0;24;1442.498;1.6266;
Tuvalu [Western Pacific];2004;Male;106.0;null;;857.0;35;;;
Zimbabwe [Africa];2004;Female;89.0;null;;569.0;16;19240.41;5.75869;
Eswatini [Africa];2004;Female;96.0;null;;528.0;17;2900.213;8.33086;
Comoros [Africa];2004;Male;85.0;null;;472.0;2;804.786;14.73991;
Bolivia (Plurinational State of) [Americas];2004;Male;230.0;null;;435.0;9;18166.77;11.53751;
Viet Nam [Western Pacific];2004;Both sexes;196.0;null;;257.0;;412436.8;1.67283;
Panama [Americas];2004;Male;159.0;null;;365.0;11;5458.489;20.88344;
Senegal [Africa];2004;Both sexes;117.0;null;;539.0;;30333.39;9.58222;
Djibouti [Eastern Mediterranean];2004;Male;283.0;null;;196.0;5;1204.589;12.56742;
Syrian Arab Republic [Eastern Mediterranean];2004;Male;149.0;null;;401.0;12;26080.42;3.99265;
Pakistan [Eastern Mediterranean];2004;Female;290.0;null;;337.0;6;318022.2;3.96055;
Germany [Europe];2004;Male;135.0;null;;213.0;20;342417.3;1.51884;
Namibia [Africa];2004;Both sexes;73.0;null;;322.0;;6921.228;21.53344;
Georgia [Europe];2004;Male;144.0;null;;211.0;13;26288.96;13.56237;
Afghanistan [Eastern Mediterranean];2004;Female;279.0;null;;371.0;3;46425.39;2.76252;
Mauritius [Africa];2004;Male;101.0;null;;1080.0;4;4019.294;4.9181;
Nigeria [Africa];2004;Male;181.0;null;;515.0;2;189021.9;18.31698;
Mozambique [Africa];2004;Male;148.0;null;;372.0;2;38888.0;10.01382;
Rwanda [Africa];2004;Female;89.0;null;;581.0;4;14830.74;3.03391;
Guinea-Bissau [Africa];2004;Both sexes;127.0;null;;606.0;;4457.861;12.13754;
Afghanistan [Eastern Mediterranean];2004;Both sexes;417.0;null;;394.0;;94008.86;9.73598;
Cook Islands [Western Pacific];2004;Both sexes;114.0;null;;568.0;;;;
Brunei Darussalam [Western Pacific];2004;Both sexes;110.0;null;;698.0;;1030.223;0.85697;
Portugal [Europe];2004;Female;79.0;null;;309.0;18;44453.18;0.77992;
Maldives [South-East Asia];2004;Male;397.0;null;;478.0;2;530.4994;3.6683;
Ukraine [Europe];2004;Both sexes;326.0;null;;192.0;;676530.8;8.64066;
Philippines [Western Pacific];2004;Male;141.0;null;;538.0;3;156033.3;36.0261;
Egypt [Eastern Mediterranean];2004;Female;130.0;null;;422.0;31;163881.1;1.70076;
Suriname [Americas];2004;Male;207.0;null;;650.0;13;1214.291;20.80449;
Trinidad and Tobago [Americas];2004;Female;71.0;null;;1432.0;18;3705.857;7.10071;
Namibia [Africa];2004;Female;47.0;null;;326.0;15;3235.131;10.06904;
Tonga [Western Pacific];2004;Male;54.0;null;;562.0;29;276.4023;5.68356;
Bosnia and Herzegovina [Europe];2004;Female;52.0;null;;205.0;17;16101.64;1.15081;
Paraguay [Americas];2004;Female;100.0;null;;738.0;15;7446.438;5.005;
Cyprus [Europe];2004;Both sexes;67.0;null;;528.0;;5729.709;1.49844;
Comoros [Africa];2004;Both sexes;74.0;null;;580.0;;1651.708;9.94573;
Oman [Eastern Mediterranean];2004;Male;232.0;null;;673.0;14;4429.935;0.99875;
Syrian Arab Republic [Eastern Mediterranean];2004;Both sexes;125.0;null;;470.0;;51156.46;2.70042;
Estonia [Europe];2004;Both sexes;287.0;null;;280.0;;15811.3;8.62571;
