Country;WHO region;World Bank income group;Year;Community health workers density (per 10 000 population);Comments;Community Health Workers (number);Community and traditional health workers density (per 1000 population);Number of community health workers;Number of community and traditional health workers;
Burkina Faso [Africa];null;null;2006;0.91;null;;;1238;;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2004;3.62;null;25242.0;0.364;25242.0;25242.0;
Iraq [Eastern Mediterranean];null;null;2004;0.06;null;;;149;;
Equatorial Guinea [Africa];null;null;2004;6.08;null;308.0;0.508;308.0;308.0;
Malawi [Africa];null;null;2008;7.32;null;10055.0;0.723;10055.0;10055.0;
null;null;Upper-middle-income;2007;8.0;null;;;1114741.0;;
Mongolia [Western Pacific];null;null;2008;0.22;null;61.0;0.023;61.0;61.0;
Guinea-Bissau [Africa];null;null;2004;15.31;null;2355.0;1.645;2355.0;2355.0;
Cook Islands [Western Pacific];null;null;2009;5.0;null;9.0;0.447;9.0;9.0;
Nepal [South-East Asia];null;null;2004;6.3;null;16206.0;0.684;16206.0;17245.0;
null;null;Global;2005;4;Data for years 2000-2009;;;1369772;;
Gambia [Africa];null;null;2008;0.72;null;1150.0;0.725;1150.0;1150.0;
null;South-East Asia;null;2007;0.78;null;;;103327.0;;
Maldives [South-East Asia];null;null;2007;13.82;null;478.0;1.515;478.0;478.0;
Papua New Guinea [Western Pacific];null;null;2008;6.24;null;3883.0;0.594;3883.0;3883.0;
Cambodia [Western Pacific];null;null;2004;1.13;null;1638.0;0.125;1638.0;1638.0;
Bhutan [South-East Asia];null;null;2007;0.86;null;424.0;0.728;424.0;496.0;
Central African Republic [Africa];null;null;2004;0.25;null;99.0;0.025;99.0;99.0;
Bangladesh [South-East Asia];null;null;2007;3.31;null;;;48692;;
null;South-East Asia;null;2005;0.9;Data for years 2000-2009;;;119543;;
Saint Vincent and the Grenadines [Americas];null;null;2000;3.814;null;45.0;0.417;45.0;45.0;
Rwanda [Africa];null;null;2004;14.15;null;;1.359;12000.0;12000.0;
Burundi [Africa];null;null;2004;0.78;null;548.0;0.072;548.0;548.0;
Sierra Leone [Africa];null;null;2008;0.223;null;132.0;0.024;132.0;132.0;
Australia [Western Pacific];null;null;2006;0.5;null;1012.0;0.049;1012.0;1012.0;
Saint Kitts and Nevis [Americas];null;null;2000;15.48;null;;;65;;
Ghana [Africa];null;null;2008;1.92;null;4502.0;0.195;4502.0;4502.0;
null;Western Pacific;null;2007;8.12;null;;;1118542.0;;
Nauru [Western Pacific];null;null;2009;2.14;null;3.0;0.299;3.0;3.0;
Cabo Verde [Africa];null;null;2004;1.37;null;;;65;;
null;null;Low-income;2005;2.9;Data for years 2000-2009;;;126007;;
Mali [Africa];null;null;2004;0.05;null;;;68;;
Sao Tome and Principe [Africa];null;null;2004;9.091;null;150.0;1.002;150.0;150.0;
null;null;Lower-middle-income;2007;1.0;null;;;89756.0;;
Yemen [Eastern Mediterranean];null;null;2004;1.226;null;2542.0;0.128;2542.0;2542.0;
null;Global;null;2005;4;null;;;1369772;;
null;null;Lower-middle-income;2005;4.2;Data for years 2000-2009;;;1210664;;
Mauritius [Africa];null;null;2004;1.91;null;236.0;0.194;236.0;236.0;
Micronesia (Federated States of) [Western Pacific];null;null;2008;2.74;null;31.0;0.297;31.0;31.0;
Madagascar [Africa];null;null;2004;0.22;null;;;385;;
null;Eastern Mediterranean;null;2005;1.3;Data for years 2000-2009;;;43380;;
China [Western Pacific];null;null;2009;8.27;null;1113331.0;0.83;1113331.0;1113331.0;
Vanuatu [Western Pacific];null;null;2008;9.464;null;212.0;0.941;212.0;212.0;
Botswana [Africa];null;null;2006;5.23;null;920.0;0.485;920.0;920.0;
Belize [Americas];null;null;2009;5.43;null;158.0;0.503;158.0;158.0;
New Zealand [Western Pacific];null;null;2001;13.79;null;;;5259;;
Nigeria [Africa];null;null;2008;1.38;null;19268.0;0.128;19268.0;19268.0;
Pakistan [Eastern Mediterranean];null;null;2009;0.63;null;10731.0;0.064;10731.0;10731.0;
Nauru [Western Pacific];null;null;2008;10;null;14.0;1.393;14.0;14.0;
Chad [Africa];null;null;2004;0.174;null;154.0;0.016;154.0;154.0;
Eswatini [Africa];null;null;2004;36.934;null;4000.0;3.654;4000.0;4000.0;
Sudan [Eastern Mediterranean];null;null;2004;1.374;null;4716.0;0.151;4716.0;4716.0;
Timor-Leste [South-East Asia];null;null;2004;0.122;null;10.0;0.01;10.0;10.0;
Grenada [Americas];null;null;1998;4.88;null;40.0;0.395;40.0;40.0;
null;Western Pacific;null;2005;8.1;Data for years 2000-2009;;;1125410;;
India [South-East Asia];null;null;2005;0.46;null;;0.627;50715;717860.0;
Myanmar [South-East Asia];null;null;2008;0.63;null;3247.0;0.082;3247.0;4197.0;
Ethiopia [Africa];null;null;2007;3.03;null;17653.0;0.218;17653.0;17653.0;
