Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;
Peru [Americas];2004;Male;166.0;null;;
Cuba [Americas];2004;Male;174.0;null;1;
Antigua and Barbuda [Americas];2004;Both sexes;94.0;null;283.0;
Kenya [Africa];2004;Both sexes;110.0;null;93.0;
India [South-East Asia];2004;Female;315.0;null;162.0;
New Zealand [Western Pacific];2004;Both sexes;170.0;null;200.0;
United Arab Emirates [Eastern Mediterranean];2004;Male;142.0;null;;
Estonia [Europe];2004;Male;435.0;null;2;
Palau [Western Pacific];2004;Male;106.0;null;7;
Indonesia [South-East Asia];2004;Male;360.0;null;;
Poland [Europe];2004;Female;120.0;null;256.0;
Iraq [Eastern Mediterranean];2004;Male;1374.0;null;;
Seychelles [Africa];2004;Both sexes;73.0;null;117.0;
Benin [Africa];2004;Female;90.0;null;385.0;
Nicaragua [Americas];2004;Both sexes;130.0;null;112.0;
Gambia [Africa];2004;Male;132.0;null;;
China [Western Pacific];2004;Both sexes;314.0;null;68.0;
Congo [Africa];2004;Female;70.0;null;224.0;
Egypt [Eastern Mediterranean];2004;Female;130.0;null;251.0;
Senegal [Africa];2004;Both sexes;117.0;null;112.0;
Georgia [Europe];2004;Both sexes;90.0;null;134.0;
Estonia [Europe];2004;Female;147.0;null;257.0;
Norway [Europe];2004;Both sexes;157.0;null;152.0;
Mali [Africa];2004;Both sexes;143.0;null;133.0;
Solomon Islands [Western Pacific];2004;Male;78.0;null;;
Tajikistan [Europe];2004;Both sexes;109.0;null;74.0;
Malta [Europe];2004;Female;102.0;null;309.0;
Lao People's Democratic Republic [Western Pacific];2004;Female;439.0;null;165.0;
Myanmar [South-East Asia];2004;Both sexes;267.0;null;92.0;
Austria [Europe];2004;Both sexes;151.0;null;135.0;
Dominican Republic [Americas];2004;Female;138.0;null;328.0;
Ireland [Europe];2004;Female;74.0;null;357.0;
Belarus [Europe];2004;Both sexes;424.0;null;153.0;
Namibia [Africa];2004;Both sexes;73.0;null;81.0;
Panama [Americas];2004;Male;159.0;null;;
Cook Islands [Western Pacific];2004;Female;123.0;null;126.0;
Switzerland [Europe];2004;Male;193.0;null;1;
United Arab Emirates [Eastern Mediterranean];2004;Female;95.0;null;133.0;
Grenada [Americas];2004;Female;85.0;null;409.0;
Niue [Western Pacific];2004;Female;139.0;null;167.0;
Dominican Republic [Americas];2004;Male;231.0;null;;
