Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;
Peru [Americas];2004;Male;166.0;null;;1336.0;
Iceland [Europe];2004;Both sexes;134.0;null;148.0;291.0;
Chad [Africa];2004;Female;108.0;null;210.0;28.0;
Mauritania [Africa];2004;Both sexes;117.0;null;167.0;12.0;
New Zealand [Western Pacific];2004;Male;230.0;null;1;367.0;
Italy [Europe];2004;Male;170.0;null;7;87.0;
Syrian Arab Republic [Eastern Mediterranean];2004;Female;101.0;null;170.0;1;
Bulgaria [Europe];2004;Both sexes;199.0;null;128.0;368.0;
Bosnia and Herzegovina [Europe];2004;Both sexes;135.0;null;124.0;456.0;
United Arab Emirates [Eastern Mediterranean];2004;Male;142.0;null;;94.0;
Albania [Europe];2004;Female;102.0;null;384.0;88.0;
Indonesia [South-East Asia];2004;Male;360.0;null;;274.0;
Iraq [Eastern Mediterranean];2004;Male;1374.0;null;;35.0;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;345.0;null;98.0;37.0;
Gambia [Africa];2004;Male;132.0;null;;144.0;
Gabon [Africa];2004;Both sexes;124.0;null;81.0;189.0;
Switzerland [Europe];2004;Both sexes;139.0;null;153.0;399.0;
Costa Rica [Americas];2004;Male;179.0;null;2;886.0;
Australia [Western Pacific];2004;Both sexes;175.0;null;171.0;571.0;
Croatia [Europe];2004;Both sexes;194.0;null;165.0;523.0;
Romania [Europe];2004;Male;485.0;null;3;856.0;
United Republic of Tanzania [Africa];2004;Female;76.0;null;210.0;30.0;
Solomon Islands [Western Pacific];2004;Male;78.0;null;;237.0;
Tajikistan [Europe];2004;Both sexes;109.0;null;74.0;189.0;
Belgium [Europe];2004;Male;196.0;null;2;373.0;
Morocco [Eastern Mediterranean];2004;Female;207.0;null;170.0;2;
Romania [Europe];2004;Both sexes;300.0;null;135.0;528.0;
North Macedonia [Europe];2004;Male;271.0;null;10.0;515.0;
Saint Kitts and Nevis [Americas];2004;Both sexes;164.0;null;179.0;561.0;
Kazakhstan [Europe];2004;Both sexes;299.0;null;165.0;729.0;
Botswana [Africa];2004;Female;78.0;null;226.0;28.0;
South Africa [Africa];2004;Female;67.0;null;285.0;111.0;
Lebanon [Eastern Mediterranean];2004;Both sexes;282.0;null;135.0;88.0;
North Macedonia [Europe];2004;Female;52.0;null;290.0;112.0;
Panama [Americas];2004;Male;159.0;null;;772.0;
Lao People's Democratic Republic [Western Pacific];2004;Both sexes;435.0;null;86.0;568.0;
Cambodia [Western Pacific];2004;Both sexes;216.0;null;196.0;230.0;
Kiribati [Western Pacific];2004;Both sexes;35.0;null;156.0;265.0;
Dominican Republic [Americas];2004;Male;231.0;null;;885.0;
Central African Republic [Africa];2004;Female;91.0;null;188.0;20.0;
Seychelles [Africa];2004;Both sexes;73.0;null;117.0;204.0;
Mali [Africa];2004;Male;189.0;null;;56.0;
Malaysia [Western Pacific];2004;Male;163.0;null;;489.0;
Nigeria [Africa];2004;Male;181.0;null;;265.0;
Niue [Western Pacific];2004;Female;139.0;null;167.0;41.0;
Turkey [Europe];2004;Female;142.0;null;192.0;82.0;
Belarus [Europe];2004;Female;187.0;null;276.0;247.0;
Sri Lanka [South-East Asia];2004;Both sexes;649.0;null;129.0;358.0;
Marshall Islands [Western Pacific];2004;Female;139.0;null;365.0;0;
France [Europe];2004;Both sexes;160.0;null;182.0;520.0;
Malta [Europe];2004;Female;102.0;null;309.0;96.0;
Cuba [Americas];2004;Female;125.0;null;211.0;108.0;
Saudi Arabia [Eastern Mediterranean];2004;Male;463.0;null;;63.0;
China [Western Pacific];2004;Male;379.0;null;;928.0;
Ghana [Africa];2004;Female;98.0;null;306.0;33.0;
Mali [Africa];2004;Female;103.0;null;235.0;11.0;
Republic of Korea [Western Pacific];2004;Both sexes;295.0;null;51.0;934.0;
Guatemala [Americas];2004;Both sexes;161.0;null;123.0;651.0;
Paraguay [Americas];2004;Female;100.0;null;252.0;125.0;
Zambia [Africa];2004;Male;155.0;null;;204.0;
Central African Republic [Africa];2004;Both sexes;141.0;null;104.0;80.0;
Somalia [Eastern Mediterranean];2004;Female;429.0;null;261.0;22.0;
Democratic Republic of the Congo [Africa];2004;Female;152.0;null;119.0;19.0;
Angola [Africa];2004;Both sexes;255.0;null;218.0;116.0;
Guyana [Americas];2004;Female;130.0;null;383.0;137.0;
Armenia [Europe];2004;Both sexes;157.0;null;310.0;157.0;
Antigua and Barbuda [Americas];2004;Female;50.0;null;549.0;133.0;
Niger [Africa];2004;Male;207.0;null;;34.0;
Azerbaijan [Europe];2004;Male;128.0;null;;492.0;
Tunisia [Eastern Mediterranean];2004;Male;224.0;null;;165.0;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Female;72.0;null;351.0;262.0;
Indonesia [South-East Asia];2004;Female;554.0;null;327.0;44.0;
Cuba [Americas];2004;Male;174.0;null;1;648.0;
Fiji [Western Pacific];2004;Both sexes;70.0;null;139.0;290.0;
Palau [Western Pacific];2004;Male;106.0;null;7;4;
Australia [Western Pacific];2004;Male;240.0;null;1;918.0;
Cambodia [Western Pacific];2004;Male;259.0;null;;466.0;
Austria [Europe];2004;Both sexes;151.0;null;135.0;426.0;
San Marino [Europe];2004;Female;24.0;null;169.0;130.0;
Burundi [Africa];2004;Male;226.0;null;;370.0;
Qatar [Eastern Mediterranean];2004;Both sexes;104.0;null;26.0;138.0;
Germany [Europe];2004;Both sexes;103.0;null;161.0;519.0;
Eswatini [Africa];2004;Male;144.0;null;;310.0;
Botswana [Africa];2004;Both sexes;103.0;null;126.0;137.0;
Portugal [Europe];2004;Male;229.0;null;4;666.0;
Nauru [Western Pacific];2004;Female;230.0;null;309.0;43.0;
Brunei Darussalam [Western Pacific];2004;Male;143.0;null;;173.0;
Mauritania [Africa];2004;Male;142.0;null;;18.0;
South Africa [Africa];2004;Male;141.0;null;;467.0;
Ecuador [Americas];2004;Female;105.0;null;168.0;212.0;
Eswatini [Africa];2004;Both sexes;119.0;null;69.0;162.0;
Liberia [Africa];2004;Both sexes;133.0;null;158.0;112.0;
Portugal [Europe];2004;Both sexes;154.0;null;144.0;413.0;
Uruguay [Americas];2004;Both sexes;88.0;null;198.0;607.0;
Kyrgyzstan [Europe];2004;Female;122.0;null;195.0;50.0;
Hungary [Europe];2004;Female;159.0;null;302.0;334.0;
Japan [Western Pacific];2004;Female;69.0;null;178.0;12.0;
Colombia [Americas];2004;Both sexes;155.0;null;89.0;799.0;
El Salvador [Americas];2004;Both sexes;152.0;null;54.0;771.0;
France [Europe];2004;Male;203.0;null;5;836.0;
Belize [Americas];2004;Male;363.0;null;4;966.0;
Tuvalu [Western Pacific];2004;Both sexes;125.0;null;189.0;187.0;
Georgia [Europe];2004;Both sexes;90.0;null;134.0;533.0;
Chile [Americas];2004;Female;51.0;null;166.0;173.0;
Niue [Western Pacific];2004;Both sexes;122.0;null;85.0;721.0;
Bahrain [Eastern Mediterranean];2004;Male;124.0;null;;284.0;
Saint Lucia [Americas];2004;Male;113.0;null;4;1070.0;
Lebanon [Eastern Mediterranean];2004;Male;314.0;null;;180.0;
Saint Kitts and Nevis [Americas];2004;Female;30.0;null;348.0;169.0;
Malawi [Africa];2004;Male;129.0;null;;99.0;
Hungary [Europe];2004;Both sexes;232.0;null;166.0;1242.0;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;201.0;null;199.0;572.0;
Slovakia [Europe];2004;Male;455.0;null;3;1316.0;
Bosnia and Herzegovina [Europe];2004;Female;52.0;null;235.0;172.0;
C\u00f4te d'Ivoire [Africa];2004;Both sexes;213.0;null;208.0;74.0;
Trinidad and Tobago [Americas];2004;Female;71.0;null;396.0;104.0;
Belize [Americas];2004;Both sexes;252.0;null;47.0;571.0;
Brazil [Americas];2004;Male;239.0;null;;1090.0;
Lithuania [Europe];2004;Male;553.0;null;1;1803.0;
Jamaica [Americas];2004;Male;131.0;null;2;380.0;
Jordan [Eastern Mediterranean];2004;Both sexes;162.0;null;191.0;35.0;
Uzbekistan [Europe];2004;Both sexes;183.0;null;77.0;153.0;
Kenya [Africa];2004;Male;146.0;null;;199.0;
Qatar [Eastern Mediterranean];2004;Male;124.0;null;;198.0;
Spain [Europe];2004;Male;160.0;null;2;180.0;
Singapore [Western Pacific];2004;Male;109.0;null;;148.0;
Yemen [Eastern Mediterranean];2004;Both sexes;524.0;null;184.0;25.0;
Tajikistan [Europe];2004;Male;149.0;null;;341.0;
Equatorial Guinea [Africa];2004;Female;118.0;null;214.0;18.0;
Uruguay [Americas];2004;Male;124.0;null;1;1043.0;
Netherlands [Europe];2004;Female;73.0;null;383.0;134.0;
Viet Nam [Western Pacific];2004;Both sexes;196.0;null;72.0;285.0;
Andorra [Europe];2004;Male;150.0;null;2;668.0;
Dominica [Americas];2004;Both sexes;72.0;null;286.0;586.0;
Panama [Americas];2004;Both sexes;114.0;null;104.0;456.0;
Timor-Leste [South-East Asia];2004;Female;172.0;null;218.0;33.0;
Guinea [Africa];2004;Female;107.0;null;195.0;9;
Maldives [South-East Asia];2004;Both sexes;359.0;null;89.0;316.0;
Switzerland [Europe];2004;Female;84.0;null;291.0;161.0;
Peru [Americas];2004;Both sexes;136.0;null;130.0;798.0;
Argentina [Americas];2004;Male;111.0;null;2;891.0;
North Macedonia [Europe];2004;Both sexes;163.0;null;153.0;316.0;
Madagascar [Africa];2004;Both sexes;104.0;null;86.0;60.0;
Cook Islands [Western Pacific];2004;Male;106.0;null;4;418.0;
Dominica [Americas];2004;Male;124.0;null;;970.0;
Timor-Leste [South-East Asia];2004;Male;308.0;null;;271.0;
Papua New Guinea [Western Pacific];2004;Both sexes;253.0;null;65.0;263.0;
Poland [Europe];2004;Female;120.0;null;256.0;160.0;
