Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;
Algeria [Africa];2004;Both sexes;74.0;null;109.0;25.0;17.1;
Congo [Africa];2004;Both sexes;99.0;null;119.0;97.0;20.3;
Yemen [Eastern Mediterranean];2004;Male;611.0;null;;50.0;28.3;
El Salvador [Americas];2004;Both sexes;152.0;null;54.0;771.0;8.4;
Comoros [Africa];2004;Male;85.0;null;;28.0;22.0;
Namibia [Africa];2004;Female;47.0;null;145.0;26.0;0.2;
Netherlands [Europe];2004;Both sexes;90.0;null;195.0;499.0;1.2;
Pakistan [Eastern Mediterranean];2004;Male;277.0;null;;132.0;20.8;
Bolivia (Plurinational State of) [Americas];2004;Female;129.0;null;341.0;193.0;1.0;
Kenya [Africa];2004;Both sexes;110.0;null;93.0;111.0;18.5;
Central African Republic [Africa];2004;Female;91.0;null;188.0;20.0;0.9;
Canada [Americas];2004;Male;111.0;null;2;872.0;1.8;
Ethiopia [Africa];2004;Male;136.0;null;;250.0;17.6;
Paraguay [Americas];2004;Female;100.0;null;252.0;125.0;0.3;
Portugal [Europe];2004;Both sexes;154.0;null;144.0;413.0;1.9;
Israel [Europe];2004;Both sexes;79.0;null;179.0;132.0;2.3;
Solomon Islands [Western Pacific];2004;Both sexes;83.0;null;70.0;125.0;17.3;
Belgium [Europe];2004;Both sexes;148.0;null;200.0;265.0;1.2;
Tajikistan [Europe];2004;Both sexes;109.0;null;74.0;189.0;26.4;
Cambodia [Western Pacific];2004;Female;175.0;null;342.0;16.0;1.8;
Canada [Americas];2004;Female;58.0;null;335.0;312.0;0.2;
Mauritius [Africa];2004;Both sexes;62.0;null;129.0;148.0;6.4;
Algeria [Africa];2004;Male;76.0;null;;42.0;17.5;
Benin [Africa];2004;Both sexes;110.0;null;204.0;57.0;22.3;
Mozambique [Africa];2004;Male;148.0;null;;107.0;20.4;
Mali [Africa];2004;Female;103.0;null;235.0;11.0;3.3;
Madagascar [Africa];2004;Male;123.0;null;;106.0;27.6;
Ecuador [Americas];2004;Male;280.0;null;;1160.0;9.9;
Japan [Western Pacific];2004;Both sexes;107.0;null;90.0;118.0;0.4;
Cyprus [Europe];2004;Female;53.0;null;229.0;0;0.0;
Mongolia [Western Pacific];2004;Both sexes;341.0;null;48.0;413.0;14.8;
Cook Islands [Western Pacific];2004;Male;106.0;null;4;418.0;1.8;
Nicaragua [Americas];2004;Female;66.0;null;221.0;139.0;0.3;
Palau [Western Pacific];2004;Both sexes;110.0;null;138.0;2;2.8;
Myanmar [South-East Asia];2004;Female;272.0;null;177.0;8;5.6;
Guinea-Bissau [Africa];2004;Male;159.0;null;;158.0;28.8;
Spain [Europe];2004;Male;160.0;null;2;180.0;1.3;
Belarus [Europe];2004;Female;187.0;null;276.0;247.0;0.0;
Poland [Europe];2004;Male;425.0;null;2;756.0;3.7;
C\u00f4te d'Ivoire [Africa];2004;Male;298.0;null;;125.0;50.1;
Bhutan [South-East Asia];2004;Female;289.0;null;166.0;27.0;0.0;
Zambia [Africa];2004;Male;155.0;null;;204.0;23.0;
Uruguay [Americas];2004;Male;124.0;null;1;1043.0;4.1;
Indonesia [South-East Asia];2004;Female;554.0;null;327.0;44.0;12.0;
Spain [Europe];2004;Both sexes;109.0;null;122.0;106.0;1.2;
Kuwait [Eastern Mediterranean];2004;Female;92.0;null;177.0;0;0.1;
Antigua and Barbuda [Americas];2004;Female;50.0;null;549.0;133.0;0.0;
Lebanon [Eastern Mediterranean];2004;Male;314.0;null;;180.0;12.9;
Haiti [Americas];2004;Female;327.0;null;29.0;224.0;1.1;
Tonga [Western Pacific];2004;Male;54.0;null;3;256.0;1.8;
Malta [Europe];2004;Female;102.0;null;309.0;96.0;0.0;
Norway [Europe];2004;Both sexes;157.0;null;152.0;969.0;0.3;
Djibouti [Eastern Mediterranean];2004;Male;283.0;null;;98.0;25.5;
Romania [Europe];2004;Male;485.0;null;3;856.0;3.5;
Monaco [Europe];2004;Male;165.0;null;2;712.0;0.2;
Burundi [Africa];2004;Male;226.0;null;;370.0;22.4;
Australia [Western Pacific];2004;Both sexes;175.0;null;171.0;571.0;0.6;
Morocco [Eastern Mediterranean];2004;Both sexes;219.0;null;87.0;66.0;12.3;
Costa Rica [Americas];2004;Both sexes;123.0;null;96.0;527.0;3.8;
Timor-Leste [South-East Asia];2004;Male;308.0;null;;271.0;15.4;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;213.0;null;1;970.0;8.3;
Nigeria [Africa];2004;Female;107.0;null;497.0;11.0;33.9;
Ireland [Europe];2004;Both sexes;120.0;null;182.0;470.0;1.9;
Paraguay [Americas];2004;Male;139.0;null;;723.0;9.2;
Republic of Korea [Western Pacific];2004;Female;212.0;null;100.0;57.0;0.4;
Germany [Europe];2004;Female;70.0;null;311.0;178.0;0.4;
Sierra Leone [Africa];2004;Female;125.0;null;493.0;35.0;1.6;
Palau [Western Pacific];2004;Female;115.0;null;270.0;0;0.0;
Democratic Republic of the Congo [Africa];2004;Both sexes;222.0;null;64.0;81.0;29.5;
Cabo Verde [Africa];2004;Male;90.0;null;;214.0;8.2;
Lao People's Democratic Republic [Western Pacific];2004;Both sexes;435.0;null;86.0;568.0;13.5;
Ukraine [Europe];2004;Female;139.0;null;298.0;124.0;0.6;
Senegal [Africa];2004;Male;140.0;null;;83.0;21.6;
Slovenia [Europe];2004;Male;320.0;null;;636.0;2.6;
Seychelles [Africa];2004;Both sexes;73.0;null;117.0;204.0;5.0;
Burundi [Africa];2004;Female;77.0;null;185.0;42.0;1.6;
Nicaragua [Americas];2004;Male;195.0;null;;951.0;10.9;
Russian Federation [Europe];2004;Both sexes;473.0;null;176.0;1277.0;3.9;
Eritrea [Africa];2004;Both sexes;84.0;null;73.0;46.0;12.1;
Somalia [Eastern Mediterranean];2004;Both sexes;417.0;null;135.0;60.0;23.7;
Fiji [Western Pacific];2004;Both sexes;70.0;null;139.0;290.0;3.5;
Israel [Europe];2004;Male;109.0;null;1;216.0;2.5;
Rwanda [Africa];2004;Male;191.0;null;;319.0;25.1;
Bangladesh [South-East Asia];2004;Male;323.0;null;;105.0;22.1;
China [Western Pacific];2004;Female;244.0;null;138.0;32.0;63.2;
Burundi [Africa];2004;Both sexes;148.0;null;105.0;200.0;21.8;
Afghanistan [Eastern Mediterranean];2004;Male;545.0;null;;54.0;25.8;
Uzbekistan [Europe];2004;Both sexes;183.0;null;77.0;153.0;21.4;
Chile [Americas];2004;Female;51.0;null;166.0;173.0;0.1;
Albania [Europe];2004;Male;417.0;null;;378.0;5.4;
Botswana [Africa];2004;Both sexes;103.0;null;126.0;137.0;31.6;
Mauritius [Africa];2004;Female;23.0;null;248.0;26.0;0.0;
Sao Tome and Principe [Africa];2004;Male;191.0;null;2;312.0;;
North Macedonia [Europe];2004;Both sexes;163.0;null;153.0;316.0;10.1;
Lithuania [Europe];2004;Female;138.0;null;278.0;280.0;0.0;
Chad [Africa];2004;Male;191.0;null;;232.0;20.0;
Antigua and Barbuda [Americas];2004;Male;139.0;null;;880.0;11.3;
Honduras [Americas];2004;Female;80.0;null;276.0;127.0;0.5;
Belarus [Europe];2004;Both sexes;424.0;null;153.0;907.0;1.8;
Kiribati [Western Pacific];2004;Female;36.0;null;312.0;16.0;;
Bahamas [Americas];2004;Male;152.0;null;;1212.0;2.0;
Gambia [Africa];2004;Both sexes;110.0;null;55.0;82.0;24.9;
Turkey [Europe];2004;Male;326.0;null;;232.0;12.3;
Qatar [Eastern Mediterranean];2004;Both sexes;104.0;null;26.0;138.0;5.8;
Barbados [Americas];2004;Both sexes;54.0;null;261.0;482.0;8.1;
Singapore [Western Pacific];2004;Both sexes;89.0;null;100.0;87.0;1.1;
Haiti [Americas];2004;Male;234.0;null;2;1289.0;16.7;
Romania [Europe];2004;Female;115.0;null;253.0;198.0;0.1;
Saint Kitts and Nevis [Americas];2004;Both sexes;164.0;null;179.0;561.0;4.0;
Albania [Europe];2004;Both sexes;259.0;null;193.0;231.0;5.3;
Latvia [Europe];2004;Both sexes;337.0;null;169.0;917.0;0.9;
Saint Vincent and the Grenadines [Americas];2004;Female;73.0;null;389.0;155.0;0.0;
Ecuador [Americas];2004;Both sexes;192.0;null;85.0;687.0;9.0;
Fiji [Western Pacific];2004;Female;60.0;null;273.0;16.0;0.0;
Belgium [Europe];2004;Female;99.0;null;388.0;155.0;0.0;
Thailand [South-East Asia];2004;Both sexes;193.0;null;89.0;656.0;7.4;
Rwanda [Africa];2004;Both sexes;137.0;null;49.0;169.0;24.0;
