Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;Age-standardized NCD mortality rate  (per 100 000 population);
Fiji [Western Pacific];2004;Both sexes;70.0;null;139.0;290.0;3.5;986.7127;
Israel [Europe];2004;Female;48.0;null;334.0;48.0;0.1;328.9086;
Iceland [Europe];2004;Male;175.0;null;4;461.0;0.9;425.1955;
India [South-East Asia];2004;Male;430.0;null;1;484.0;24.7;703.1933;
Cyprus [Europe];2004;Female;53.0;null;229.0;0;0.0;349.8436;
Algeria [Africa];2004;Male;76.0;null;;42.0;17.5;584.7707;
Zimbabwe [Africa];2004;Female;89.0;null;148.0;41.0;2.0;631.9901;
Afghanistan [Eastern Mediterranean];2004;Female;279.0;null;506.0;3;6.0;1019.607;
Saint Kitts and Nevis [Americas];2004;Female;30.0;null;348.0;169.0;0.0;;
Grenada [Americas];2004;Female;85.0;null;409.0;146.0;0.0;479.9794;
China [Western Pacific];2004;Female;244.0;null;138.0;32.0;63.2;545.1297;
Senegal [Africa];2004;Female;93.0;null;221.0;13.0;2.0;585.1738;
Ghana [Africa];2004;Male;108.0;null;2;219.0;23.3;753.4284;
Nepal [South-East Asia];2004;Male;311.0;null;;513.0;13.4;496.7664;
Democratic Republic of the Congo [Africa];2004;Female;152.0;null;119.0;19.0;16.4;655.4059;
Uganda [Africa];2004;Male;178.0;null;;442.0;17.6;949.5828;
Latvia [Europe];2004;Male;502.0;null;1;1604.0;1.1;1028.982;
San Marino [Europe];2004;Female;24.0;null;169.0;130.0;;;
Israel [Europe];2004;Male;109.0;null;1;216.0;2.5;459.5959;
Cuba [Americas];2004;Male;174.0;null;1;648.0;1.1;510.8703;
Vanuatu [Western Pacific];2004;Male;78.0;null;;253.0;4.0;1155.412;
Yemen [Eastern Mediterranean];2004;Male;611.0;null;;50.0;28.3;846.6786;
Morocco [Eastern Mediterranean];2004;Male;233.0;null;;133.0;13.6;632.4947;
Thailand [South-East Asia];2004;Both sexes;193.0;null;89.0;656.0;7.4;446.7335;
Vanuatu [Western Pacific];2004;Both sexes;80.0;null;128.0;131.0;2.2;999.9222;
Denmark [Europe];2004;Female;98.0;null;393.0;202.0;0.0;395.2838;
Sao Tome and Principe [Africa];2004;Female;113.0;null;174.0;43.0;;573.7995;
United Arab Emirates [Eastern Mediterranean];2004;Both sexes;129.0;null;35.0;67.0;4.1;601.6681;
Eritrea [Africa];2004;Male;107.0;null;;83.0;13.3;947.3319;
Lesotho [Africa];2004;Both sexes;66.0;null;45.0;97.0;14.4;923.0782;
Cook Islands [Western Pacific];2004;Male;106.0;null;4;418.0;1.8;;
Honduras [Americas];2004;Both sexes;101.0;null;142.0;553.0;10.7;568.0104;
Argentina [Americas];2004;Male;111.0;null;2;891.0;8.7;676.3824;
Romania [Europe];2004;Female;115.0;null;253.0;198.0;0.1;588.1259;
Germany [Europe];2004;Female;70.0;null;311.0;178.0;0.4;342.9335;
Qatar [Eastern Mediterranean];2004;Male;124.0;null;;198.0;6.0;699.0929;
Somalia [Eastern Mediterranean];2004;Both sexes;417.0;null;135.0;60.0;23.7;817.9054;
Jamaica [Americas];2004;Male;131.0;null;2;380.0;8.3;446.0568;
C\u00f4te d'Ivoire [Africa];2004;Male;298.0;null;;125.0;50.1;887.3144;
Kazakhstan [Europe];2004;Female;174.0;null;294.0;206.0;1.5;756.3804;
Oman [Eastern Mediterranean];2004;Female;78.0;null;171.0;0;0.0;723.406;
Paraguay [Americas];2004;Female;100.0;null;252.0;125.0;0.3;392.4891;
Spain [Europe];2004;Both sexes;109.0;null;122.0;106.0;1.2;379.6921;
Belarus [Europe];2004;Both sexes;424.0;null;153.0;907.0;1.8;857.726;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;255.0;null;167.0;2;4.5;484.9613;
Lesotho [Africa];2004;Female;50.0;null;75.0;22.0;0.2;776.2272;
United Republic of Tanzania [Africa];2004;Both sexes;119.0;null;112.0;135.0;20.1;547.1433;
Zambia [Africa];2004;Male;155.0;null;;204.0;23.0;1012.091;
Luxembourg [Europe];2004;Both sexes;183.0;null;152.0;485.0;2.7;415.4779;
Nauru [Western Pacific];2004;Male;137.0;null;;460.0;;;
Guyana [Americas];2004;Male;236.0;null;;729.0;19.3;982.915;
Kenya [Africa];2004;Female;75.0;null;178.0;24.0;5.3;514.6902;
Jordan [Eastern Mediterranean];2004;Male;210.0;null;1;66.0;11.1;517.7368;
Chad [Africa];2004;Female;108.0;null;210.0;28.0;1.7;585.924;
Bahrain [Eastern Mediterranean];2004;Female;89.0;null;292.0;0;0.0;796.6621;
Malaysia [Western Pacific];2004;Male;163.0;null;;489.0;5.0;643.0001;
Tonga [Western Pacific];2004;Male;54.0;null;3;256.0;1.8;915.1865;
Czechia [Europe];2004;Both sexes;236.0;null;141.0;415.0;2.2;573.6269;
Mauritius [Africa];2004;Female;23.0;null;248.0;26.0;0.0;567.594;
Lebanon [Eastern Mediterranean];2004;Male;314.0;null;;180.0;12.9;624.4286;
Singapore [Western Pacific];2004;Female;69.0;null;198.0;25.0;0.0;268.438;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;345.0;null;98.0;37.0;7.4;693.0622;
Finland [Europe];2004;Female;146.0;null;245.0;218.0;0.0;313.9966;
