Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);
Indonesia [South-East Asia];2002;null;Not applicable;10.39;null;;;;
Czechia [Europe];2002;null;Not applicable;1.22;null;;;;
Austria [Europe];2002;null;Not applicable;0.91;null;;;;
Bahrain [Eastern Mediterranean];2004;Female;null;0.0;null;6.37216;0.0;0.09953;
Ghana [Africa];2004;Both sexes;null;14.1;null;25.4368;22.9;2.14945;
Colombia [Americas];2004;Male;null;155.7;null;28.01129;11.1;0.23991;
Myanmar [South-East Asia];2004;Both sexes;null;16.3;null;19.71811;27.8;3.02241;
Kenya [Africa];2004;Male;null;43.6;null;39.41805;20.5;3.85118;
Czechia [Europe];2004;Female;null;0.0;null;7.18276;0.1;0.34448;
Belgium [Europe];2004;Female;null;0.1;null;5.0625;0.0;0.58675;
Guyana [Americas];2004;Female;null;0.0;null;11.50979;0.1;0.1618;
Russian Federation [Europe];2004;Male;null;43.3;null;46.88876;4.4;14.83082;
Tunisia [Eastern Mediterranean];2004;Both sexes;null;1.7;null;23.42781;8.5;0.86229;
Indonesia [South-East Asia];2004;Male;null;15.6;null;21.82144;12.0;0.65297;
Cuba [Americas];2004;Both sexes;null;5.6;null;11.43074;1.0;0.28652;
Palau [Western Pacific];2004;Male;null;1.5;null;;1.8;;
Sri Lanka [South-East Asia];2004;Both sexes;null;6.8;null;14.6953;7.1;0.82943;
Russian Federation [Europe];2004;Both sexes;null;26.7;null;29.91241;3.9;8.95348;
Tajikistan [Europe];2004;Female;null;0.1;null;8.33392;1.2;0.87356;
Turkmenistan [Europe];2004;Both sexes;null;9.9;null;17.34917;29.0;1.42043;
Malaysia [Western Pacific];2004;Both sexes;null;10.2;null;25.48962;4.4;0.6851;
Bhutan [South-East Asia];2004;Both sexes;null;5.7;null;13.14947;13.6;0.47583;
Chad [Africa];2004;Female;null;0.4;null;17.01021;1.7;2.69843;
Timor-Leste [South-East Asia];2002;null;Not applicable;22.9;null;;;;
China [Western Pacific];2004;Male;null;2.8;null;29.87821;10.2;2.33047;
Malaysia [Western Pacific];2002;null;Not applicable;9.73;null;;;;
Papua New Guinea [Western Pacific];2002;null;Not applicable;20.11;null;;;;
Slovenia [Europe];2004;Male;null;2.7;null;23.30099;2.6;0.88846;
Dominican Republic [Americas];2004;Male;null;33.7;null;58.34671;15.6;0.33328;
