Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);Age-standardized NCD mortality rate  (per 100 000 population);Mortality rate among children ages 10 to 14 years (per 1000 children aged 10);
Lebanon [Eastern Mediterranean];2004;Female;null;0.0;null;7.3977;0.2;0.52973;490.5969;;
Indonesia [South-East Asia];2002;null;Not applicable;10.39;null;;;;;;
Czechia [Europe];2002;null;Not applicable;1.22;null;;;;;;
Central African Republic [Africa];2004;Female;null;0.2;null;24.61905;0.9;2.00014;870.5828;;
Austria [Europe];2002;null;Not applicable;0.91;null;;;;;;
United Republic of Tanzania [Africa];2004;Male;null;57.0;null;43.04753;22.4;3.26689;613.3457;;
Kenya [Africa];2004;Male;null;43.6;null;39.41805;20.5;3.85118;685.2862;;
Slovenia [Europe];2004;Female;null;0.0;null;5.83876;0.0;0.4316;364.5331;;
Djibouti [Eastern Mediterranean];2004;Both sexes;null;3.8;null;27.60501;23.0;2.52355;631.6885;7.79525;
Mauritania [Africa];2004;Male;null;28.0;null;30.98353;23.9;1.69419;454.431;;
Jamaica [Americas];2004;Male;null;64.8;null;17.22884;8.3;0.12147;446.0568;;
Malawi [Africa];2004;Male;null;42.9;null;50.48161;19.0;3.5676;896.258;;
Egypt [Eastern Mediterranean];2004;Male;null;2.3;null;15.16608;10.0;0.28338;925.0681;;
Chile [Americas];2004;Both sexes;null;5.3;null;17.83331;2.5;0.37974;439.4175;1.02498;
Lao People's Democratic Republic [Western Pacific];2004;Female;null;0.1;null;8.59325;0.5;0.99232;698.8098;;
Latvia [Europe];2004;Both sexes;null;9.2;null;23.51989;0.9;3.99526;728.3365;1.40232;
Rwanda [Africa];2004;Both sexes;null;34.4;null;36.72593;24.0;4.08608;772.0315;14.82486;
Czechia [Europe];2004;Both sexes;null;1.2;null;13.91677;2.2;0.97895;573.6269;0.76059;
Turkmenistan [Europe];2004;Both sexes;null;9.9;null;17.34917;29.0;1.42043;999.6888;2.74326;
Israel [Europe];2004;Female;null;0.1;null;3.41934;0.1;0.03449;328.9086;;
Democratic Republic of the Congo [Africa];2004;Both sexes;null;45.1;null;36.53988;29.5;2.19845;742.0818;10.61609;
Timor-Leste [South-East Asia];2002;null;Not applicable;22.9;null;;;;;;
Zambia [Africa];2004;Both sexes;null;30.5;null;25.91198;20.6;4.17496;845.261;6.3817;
Malaysia [Western Pacific];2002;null;Not applicable;9.73;null;;;;;;
Papua New Guinea [Western Pacific];2002;null;Not applicable;20.11;null;;;;;;
