Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Kiribati [Western Pacific];null;null;2000;Male;52.31359;null;77;8.67535;73.34218;;261.0123;
Lesotho [Africa];null;null;2019;Male;47.6613;null;93;8.26148;98.33192;;;
Equatorial Guinea [Africa];null;null;2000;Female;56.4894;null;148;12.18205;146.80154;;319.498;
Burkina Faso [Africa];null;null;2019;Both sexes;62.7035;null;;12.61389;87.82075;;;
Mali [Africa];null;null;2019;Both sexes;62.79813;null;;12.79507;94.17647;;;
Lebanon [Eastern Mediterranean];null;null;2015;Female;78.81971;null;8;16.00993;7.83927;;84.69739;
Mexico [Americas];null;null;2019;Both sexes;76.01043;null;;16.06625;14.14696;;;
Estonia [Europe];null;null;2000;Male;65.60099;null;12;11.79778;12.19956;;311.9293;
Myanmar [South-East Asia];null;null;2019;Both sexes;69.1335;null;;13.58787;45.17965;;;
Bhutan [South-East Asia];null;null;2019;Both sexes;73.1091;null;;14.48981;28.57551;;;
Albania [Europe];null;null;2019;Female;79.90692;null;9;17.31673;8.89026;;;
Luxembourg [Europe];null;null;2000;Both sexes;78.2397;null;;16.73756;4.52027;;89.95455;
Poland [Europe];null;null;2010;Female;80.37245;null;5;17.72774;5.41407;;71.25575;
Nigeria [Africa];null;null;2010;Male;57.75315;null;143;12.47925;142.82411;;392.2544;
India [South-East Asia];null;null;2015;Female;70.61754;null;50;13.31802;44.97742;39.066;140.7451;
Morocco [Eastern Mediterranean];null;null;2015;Both sexes;72.46462;null;;14.06547;23.50502;;70.15383;
New Zealand [Western Pacific];null;null;2019;Male;80.36292;null;5;17.90915;5.31687;;;
Tajikistan [Europe];null;null;2015;Male;66.69367;null;42;11.62953;41.91403;;157.4226;
Djibouti [Eastern Mediterranean];null;null;2010;Female;63.25947;null;70;13.92157;70.4477;;248.6225;
Luxembourg [Europe];null;null;2019;Male;80.62149;null;3;17.70828;3.08174;;;
Maldives [South-East Asia];null;null;2019;Female;80.76191;null;7;17.23018;6.36478;;;
Seychelles [Africa];null;null;2010;Female;76.84455;null;13;15.48789;13.02483;;97.15606;
Micronesia (Federated States of) [Western Pacific];null;null;2015;Male;60.14181;null;37;10.81366;32.79912;;185.5554;
Republic of Moldova [Europe];null;null;2015;Female;75.04539;null;14;14.95017;13.91825;;107.0468;
Colombia [Americas];null;null;2010;Male;74.00397;null;24;16.43072;20.30474;19.94663;195.0999;
Kiribati [Western Pacific];null;null;2000;Female;59.4002;null;65;10.36957;62.60633;;184.212;
Indonesia [South-East Asia];null;null;2000;Male;65.77052;null;57;12.66096;56.37212;;209.6237;
Georgia [Europe];null;null;2019;Both sexes;73.2812;null;;14.40968;9.49658;;;
null;Upper-middle-income;null;2019;Male;73.37775;null;;14.89668;;;;
Guinea-Bissau [Africa];null;null;2010;Female;57.6849;null;105;11.50909;106.05057;;284.1797;
El Salvador [Americas];null;null;2010;Both sexes;74.5043;null;;16.4343;19.38075;;191.999;
China [Western Pacific];null;null;2015;Female;79.87157;null;10;16.76285;10.015;;68.27081;
Bahamas [Americas];null;null;2019;Both sexes;73.21226;null;;16.15662;22.4477;;;
null;High-income;null;2019;Male;78.38582;null;;17.07419;;;;
Libya [Eastern Mediterranean];null;null;2000;Both sexes;74.39559;null;;15.57367;28.09706;;147.4918;
Paraguay [Americas];null;null;2019;Male;73.0798;null;21;15.44034;21.43478;;;
Mexico [Americas];null;null;2010;Female;78.0138;null;17;16.57479;17.30765;;92.78619;
Ireland [Europe];null;null;2000;Male;73.84161;null;8;14.5553;7.81825;;117.0133;
United States of America [Americas];null;null;2000;Both sexes;76.6916;null;;15.72205;8.44688;;114.2133;
Georgia [Europe];null;null;2010;Male;67.43574;null;16;12.45757;15.83864;;235.6971;
Samoa [Western Pacific];null;null;2000;Female;70.78302;null;19;13.40783;19.09908;;134.4365;
Norway [Europe];null;null;2019;Female;84.12942;null;2;19.0536;2.0723;;;
Bahrain [Eastern Mediterranean];null;null;2010;Both sexes;74.51688;null;;13.08049;8.51339;;65.97186;
Malaysia [Western Pacific];null;null;2000;Male;70.55416;null;11;12.76954;11.18781;;185.9008;
South Sudan [Africa];null;null;2010;Female;63.08305;null;88;12.84104;103.99827;60.21715;342.3934;
